Topic,Count,Name,Representation,Representative_Docs
0,11,0_procurement_software_boost_oinvestment,"['procurement', 'software', 'boost', 'oinvestment', 'first', 'commercial', 'dedicated', 'use', 'pennylane', 'centreincluding']","['canada quantum first dwave launched first computer based quantum technology qbit recognized world economic forum first software company dedicated producing commercial application quantum computer xanadu launched pennylane first dedicated machine learning software quantum computer', 'million boost government procurement quantum technology public use', 'government canada accelerate development canadian quantum computing hardware software algorithm foster expertise use range different platform ensure academic commercial government sector access broadest suite related technology testing advancement procurement adoption']"
1,11,1_skill_professional_talent_skilled,"['skill', 'professional', 'talent', 'skilled', 'need', 'training', 'sector', 'qualified', 'vocational', 'worker']","['miniaturised vacuum chamber lie laboratory bench awaken interest attract skilled worker quantum technology still comparatively abstract topic requires explanation communication proving major challenge discussion technology application however approach required understood general term addition need realistic expectation regarding potential pace development well limit technology especially among decisionmakers business politics information understood party concerned specific knowledge application quantum technology therefore also needed general school education bottleneck recruiting suitable academic specialist already becoming apparent today consequently hugely important look way information shared manner appropriate target group aim increase lowthreshold interest order inspire skilled worker tomorrow well demonstrate potential user outside field employee company must empowered use technology go without saying also need highly qualified professional especially regard developing technology reason following need done showcasing opportunity possibility fordifferent professional development path', 'building quantumliterate workforce sector scale need emphasis route sector beyond doctoral training well build pipeline school upwards professionalisation quantum engineering skill help talent transition adjacent sector end engage professional body including institution engineering technology iet institute physic iop develop awareness skill recognition continuing professional development career support quantum sector increasing quantum literacy crossfertilisation domain expertise economy overall particularly key enduser sector essential growing sector recognise need skilled technician problem unique quantum sector people undertake skilled practical work scientific equipment enable integration quantum technology wider system often undertaking vocational job training iop found physicsrelated job require degree indicating potential scale role vocational training already successful initiative meet technician need npl', 'investment billion expecting private sector commit invest billion programme lifetime achieved evenly matched industry funding innovation programme take account direct contribution programme activity overall benefit investment sector resulting programme much greater skill access right skill talent essential excellence research technology development commercialisation building diverse thriving workforce drive growing quantum industry vital unlocking economic societal benefit future requires highly skilled people ensuring researcher engineer innovator practitioner need quantumready workforce mean postgraduate training development technical professional apprenticeship attraction retention world leading expert field quantum sector small rapidly evolving expectation skill need change time call evidence response told facing challenge associated small global talent pool quantumspecific talent recent survey found top challenge business preparing quantum computing able access right skill talent talent shortage also exist within domestic sector according ukbased company']"
2,10,2_deutschland_inthe_umbrella_fraunhofergesellschaft,"['deutschland', 'inthe', 'umbrella', 'fraunhofergesellschaft', 'contract', 'software', 'beleveraged', 'fabs', 'closed', 'chainsin']","['establish fabs pilot line closed supply chainsin competitive autonomous germaneuropeaneconomic area including forschungsfabrikmikroelektronik deutschland fmd thequantum neuromorphic computing module', 'fraunhofergesellschaft support development technology field quantumcomputing particular setting nationwidecompetence network quantum computingand within framework cooperation withibm deutschland gmbh invests considerableresources make system ehningen available scientific community industrysmes startup conducting research inthe field quantum computing alone andas member consortium continuation thecooperation ibm beyond current contract envisaged', 'recently selected future cluster expected start march complement hightech incubator throughcooperation established industry figure ptbcoordinates bmbffunded quantum communication germany umbrella project close cooperation bsi central goal projectis fuel coherent development quantumcommunication act platform relevantpartners germany thereby ensure astrong role germany europe term ofcommercialisation allows synergy beleveraged duplication avoided thereforeensures optimal use resource researchand industry significantly strengthening competitive positioning international environmentand securing technological sovereignty thelong term din directly involved projectthrough subcontract addition umbrella project metrology required industrialimplementation also developed theoutset various current research programme forexample quantum computer demonstratorsthese activity open technology spandiverse architecture']"
3,9,3_defense_scotland_growth_security,"['defense', 'scotland', 'growth', 'security', 'physic', 'mod', 'military', 'economic', 'enhance', 'mpi']","['additional contribution dlr outside programmeoriented research funding hgf dlr quantum computing initiative funded around eur million fiscal stimulus package construction quantum computer system development software initial application initiative approach implement system commissioning company especially startup purpose fund flow company cover full cost even achieve profit margin particularly important small mediumsized enterprise startup less financial power development quantum computer dlrs research field therefore building parallel industrial ecosystem time result intellectual property codetermination right potentially sensitive area technology secured dlr although company executing work given freedom act grantback addition colocation dlr institute hamburg ulm among others provides incentive relevant innovative company european economic area settle germany measuring device laboratory environment maxplanckgesellschaft zur frderung der wissenschaften max planck society advancement science mpg max planck society mpg began funding basic research quantum science technology qst early stage spirit second quantum revolution max planck institute mpi quantum optic founded garching experimental branch mpi gravitational physic set hanover turn mpi physic complex system dresden mpi physic light erlangen addition max planck institute solid state research stuttgart computer science saarbrcken nuclear physic heidelberg multidisciplinary natural science gttingen chemical solidstate physic dresden structure dynamic matter hamburg microstructure physic halle mathematics science leipzig intelligent system tbingen security privacy bochum well fritz haber institute berlin also work part aspect topic fundamental research carried qst institute mpg see pioneer supporter current specialist programme quantum technology mpg regard qst strategically important topic term fundamental research also term potential economic benefit germany excellently positioned come fundamental take leading role global competition qst mpg contributes central expertise area qst including following field quantum computing garching erlangen bochumtbingen', 'working hand hand quantum sector growing quantum sector truly collaborative endeavour next ten year beyond sector take shape sufficient time resource effort dedicated task work closely quantum company well key industry professional body ukquantum institute physic royal academy engineering institute engineering technology techuk make sure industry view understood government action support growth engagement cover area detailed design future programme skill quantum readiness across wider economy international engagement codesign future regulation standard commercialisation accelerator outlined previous mission quantum computing pnt include enabling activity support commercialisation user adoption technology area addition develop new acceleration programme quantum technology support sector capitalise market opportunity build strategic advantage acceleration programme help speed commercialisation industrialisation linking sector endusers focussing system integration application realworld demonstration build expand existing activity delivered nqtp partner enable greater participation growing sector specific investment activity accelerator programme tailored technology area include effort roadmap route market key application continue engage community help shape programme also continue industryled innovation funding opportunity provided via iscf quantum challenge help derisk investment medium longterm encourage new entrant join sector iscf impressive track record helping company secure investment alongside grant agreement well helping grow pipeline new startup feasibility study infrastructure uk quantum facility centre excellence spread across region country made significant investment governmentowned infrastructure support industry development new product based quantum technology includes expanding facility capability national physical laboratory teddington establishing national quantum computing centre harwell campus oxfordshire addition network research innovation infrastructure built existing quantum technology research hub investment wider capability scotland photonics cluster scotland vibrant long established sector field photonic technology annual industrial turnover billion technology scotland turn led important region quantum technology development quantum technology cluster scotland promotes glentanglement region marked emergence growth innovative startup leading manufacturer coherent scotland squared large defence system integrator strong laser radar division combined worldclass research base several university extensive legacy laser photonics well quantum optic cold atom work cluster also supported leading research development innovation centre james watt nanofabrication centre based university glasgow lifi centre university strathclyde helping tie ecosystem together fraunhofer centre applied photonics worldleading centre applied laser research development based university strathclyde network institution central belt closely tied nqtp notably quantum imaging hub quantic led university glasgow partnered scotland university edinburgh heriotwatt strathclyde three uk quantum technology hub also strong presence university physic department scotland almost half governmentsupported commercialising quantum technology programme project involve scottish organisation participant quantum technology challenge directory ukri', 'maintaining national security economic growth national security need often drive advancement new science technology enable economic development enhanced government investment dedicated initiative crossagency collaboration time creating new market industry enhance ability address national security need scientific economic advance lead new risk appropriate balance growth risk provide longterm benefit technology anticipated result intensified research development qi may provide solution nation pressing national security concern example advancement quantum computing may allow improvement effective drug discovery modeling chemical reaction enhance corrosionresistant material optimizing logistics solution opportunity networking sensing play positive role ensuring national security defense however may challenge public safety security arise technology example one key quantum algorithm able break publickey cryptography secures transaction internet employing algorithm far beyond current level technology need protect sensitive data provide reliable infrastructure longterm requires moving postquantum quantumresistant form cryptography qi technology developed military defense application also accelerate advancement field leading substantial economic growth potential creation new industry product transition consumer market defense intelligence community strong investor qi research development last twenty year continue work across basic science applied technology area improve understanding possible qi support necessary technological base enhanced industrial engagement infrastructure improvement described previous section also enhance national security provide economic growth fostering qi within united state rather leaving innovator seek support elsewhere technology evolves potential impact military application mean continual monitoring export trade regulation including wassenaar arrangement control list domestic implementation export administration regulation ear international traffic arm regulation itar necessary furthermore defense community special need diverse workforce development pathway added program build quantumsmart workforce defenserelated research development finally imperative developing qi enterprise united state government also protects intellectual property economic interest seek understand dualuse capability support nationalsecurityrelevant application emerge qi research every level basic research commercialization qi technology improving defense quantum technology advanced computing capability long used enhance military capability economic productivity general purpose quantum algorithm optimization machine learning material development chemical calculation continue explored although quantum speedup still unknown improvement direct computational ability resulting material system could greatly impact military effectiveness beyond computation new quantumenhanced system could enable nextgeneration sensor detector defense application example precision relies deep understanding quantum property atom development impact next generation global positioning system gps scenario gps unavailable synergy defense requirement low size weight power device via new modality sensing exploration quantum networking also potential defense value could offer added functionality quantum computation quantum sensing robust solution distributing entanglement multiple length scalesfrom across chip across worldcould enable distributed quantum computer distributed sensor potential longterm impact secure communication understanding quantum effect impact communication bandwidth latency security novel networking technology algorithm help realize best networking system']"
4,9,4_international_joint_collaboration_exchange,"['international', 'joint', 'collaboration', 'exchange', 'united', 'partner', 'ptb', 'qi', 'standard', 'together']","['november signed joint statement intent deepen collaboration basic research standard development industry cooperation npl nist agreed formal collaborate standard development around quantum technology collaboration act nucleus growing include laboratory international partner joint research exchange partner also supported npl epsrc beginning summer school also involve canadian participant goal supporting business support business making goto place quantum business integral part global supply chain well preferred location investor global talent quantum sector thriving quantum ecosystem provides huge opportunity translate idea economic value societal impact already least company active uk quantum sector quantum company attracted disclosed private equity investment european country second globally quantum ecosystem comprised primarily smes operate specific area expertise mean collaboration essential part ecosystem within sector well academia allied sector user community need fundamental part strategy going forward', 'building collaborative relationship number country joint statement intent support mutually beneficial growth sector boost research collaboration connection industry relationship also grow link centre excellence running exchange workshop summer school support knowledge exchange supporting intellectual property literacy exploring mission grand challenge leading country around specific scientific breakthrough societal outcome sharing access key international facility continue engage informally leading nation quantum support open collaboration proinnovation regulatory approach help grow quantum sector supply chain allows exchange information national quantum programme opportunity challenge identify area future collaboration also work broad range country multilateral forum oecd global technology forum world economic forum nato take advantage broader collaborative opportunity born defence pact aukus international conversation technical standard early stage within standard development organisation institute electrical electronics engineer standard association international organization standardization international electrotechnical commission work closely industry academia civil society international partner ensure interest represented key standard wider international body step international work quantum expand partnership comprehensive programme bilateralarrangements leading quantum nation working uk global science andinnovation network considering priority outcome set forthcominguk international tech strategy', 'advancing international cooperation science technology innovation cornerstone prosperity economic development also dominant force internationally particularly given highly interconnected world century business operate globally scientist engineer collaborate across border considering global nature scientific industrial enterprise united state including private sector cooperated foreign partner qi research twenty year partnership accelerated scientific discovery technological application promoting economic growth national security order maintain leadership competitiveness qi united state must work international partner even advancing domestic investment research strategy discovery accelerate sector united state seek increase international cooperation likeminded government industrial partner ensure technology resulting today investment basic research technological development continue benefit american sustained domestic investment strategic international collaboration cooperation vital goal government focus three strategic international effort qi first effort regular review international collaboration activity partnership identify track worldwide qi science technology trend identify gap opportunity understand evolving international qi landscape inform existing program second government identify prioritize strategic bilateral partnership ensure united state continues attract retain best international access international technology research facility expert qi third government encourage meritbased transparent fundamental research innovation system open access public data arising qi research appropriate well advance development international standard enable adoption new qisinspired technology']"
5,8,5_apprenticeship_skill_stem_apprentice,"['apprenticeship', 'skill', 'stem', 'apprentice', 'researchersinnovators', 'school', 'training', 'hosted', 'rotation', 'scheme']","['recognising importance skilled people launch new doctoral training centre fellowship quantum quantum skill taskforce develop industry placement scheme quantum apprenticeship programme would start initial additional investment million next two year funding continuing increase next phase programme', 'develop range measure inspire next generation quantum scientistsengineers technician fund expansion stem learning quantumambassador school outreach programme launch series domestic andinternational summer school research exchange develop quantumindustry placement scheme quantum apprenticeship programme', 'apprenticeship scheme hosted apprentice since including rotation hosted apprentice since including rotation science technology framework seeking address broader stem skill gap dedicated talent skill strand focus creating agile responsive skill system recruiting retaining stem teacher expanding opportunity participation stem ensuring diverse range people participate stem opportunity giving people opportunity train retrain upskill throughout life establishing competitive advantage attracting international talent department education developing skill dashboard better understand supply demand science technology skill priority technology including quantum technology boost quantum skill double number centre doctoral training focused quantumtechnologies contribute training phd student quantum adirectly supporting field next ten year']"
6,8,6_collaboration_international_cooperativeresearch_existingprogramme,"['collaboration', 'international', 'cooperativeresearch', 'existingprogramme', 'formutual', 'ocollaborative', 'betweenindustry', 'internationalscience', 'ochallengeled', 'sciencepartnerships']","['significantly expand partnership global ally bilaterally multilaterally wider multilateral forum including regulation standard', 'provide additional funding international collaboration new internationalscience partnership fund', 'international collaboration programme building strength existingprogramme broadening international collaboration close partner formutual benefit']"
7,7,7_sensor_device_sensitivity_timing,"['sensor', 'device', 'sensitivity', 'timing', 'improve', 'commercial', 'sensing', 'barrier', 'overcome', 'system']","['research stakeholder agreed canada must coordinate connect mobilize effort advance knowledge support growing commercial quantum sector recommended national quantum strategy enable research cooperation collaboration industry academia government increase connection regional quantum hub foster robust national ecosystem stakeholder also noted setting goal future achievement make possible establish reinforce necessary research funding mechanism today includes ramping effort apply quantum technology problem faced canadian industry identifying capitalizing domestic research strength focus future investment time consultation acknowledged need patient investment research extended period realize full potential quantum technology quantum communication communication network take advantage law physic protect share data potential application include protecting communication eavesdropping connecting quantum device together quantum sensor device perform measurement high sensitivity accuracy potential application include submarine detection mineral exploration imaging sensitive radar detection quantum material material unusual magnetic electrical property could enable energyefficient electrical system better battery construction new type electronic device', 'quantum sensor timing despite increasing ability detect monitor thing exist land sea space still often resort digging drilling hole find object forgotten pipe cabling locate measure sinkhole mine working researcher epsrcsupported national quantum hub sensor timing defence science technology laboratory dstl teamed specialist environmental engineering company rsk teledyne develop new ground mapping technology quantum gravity gradiometer device work detecting variation microgravity using principle quantum physic tested outside lab first time successfully detecting hidden underground object technology offer potentially faster cheaper reliable capability current system opportunity reduce time needed survey example month day programme led successful transfer knowledge technology many company generating supporting around quantum technology startup nurturing highly skilled quantum workforce including phd candidate many fellowship attracting venture capital investment per caput quantum technology country new quantum device developed across computing communication sensing timing trialled globally wearable brain scanner improve understanding neurological disorder miniaturised atomic clock end dependence satellite timing critical everything healthcare navigation financial service recent development sector show innovative centre commercialisation deployment quantum technology include launch first commercial trial quantum secured communication service london integration quantum gas camera monitoring system oil gas industry release platform agnostic quantum computing operating system home largest number quantum startup europe attracts capital investment country europe business supported commercialising quantum challenge raised private sector financing since programme began', 'mission enable government canada key industry developer early adopter new quantum sensing technology quantum sensor significantly improve precision sensitivity efficiency many different kind measurement case create entirely new capability application space explore deployment quantum sensor expected help solve many pressing problem canada enabling major advance defence security critical mineral exploration extraction infrastructure environmental monitoring navigation transportation safety health care early commercial opportunity horizon widespread impact expected next year global market quantum sensor projected nearly million canada need early mover seize share growing market involve overcoming current technological barrier including gap fundamental science challenge building stable easily reproducible component lack standard process device characterize component system barrier related highly specialized knowledge training required quantumsensor use must also overcome enable widespread adoption society nqs help overcome hurdle support vibrant domestic industry leveraging canadian quantum capacity create build highly qualified personnel capacity stimulate knowledge technology transfer government academic commercial sector government canada engage industry end user capability competitive advantage quantum sensor facilitate adoption support expert training technology research design new material enhance capability existing sensor contribute fulfillment mission work mission already begun department national defence dnd launched idea call solution overcome scientific technical barrier quantumsensing system defence security purpose nrc launched internet thing quantum sensor challenge program focused developing revolutionary sensor use extreme sensitivity quantum system enhance measurement precision sensitivity rate even expand kind phenomenon measured february innovative solution canada isc launched two call advance quantum sensing prototype supporting technology one support development quantumlevel biophoton optical imager another develop ultrasensitive spectroscopy system quantum photonics june isc launched call support precommercial quantum sensor prototype measure variety physical quantity including electric magnetic field precise timing temperature chemical biological process world leader quantum science canada conquer technical challenge transition technology lab field lay groundwork future lucrative hightech industry mission strategy']"
8,7,8_arrangement_whilst_epsrc_bilateral,"['arrangement', 'whilst', 'epsrc', 'bilateral', 'collaborative', 'publication', 'postgraduate', 'continuing', 'discipline', 'top']","['underpinning fundamental research continuing enable responsemode researchthrough existing epsrc stfc programme advance science enablethe utilisation quantum tool wider research', 'international partnership quantum science technology global effort want work ally partner achieve mutually beneficial outcome whilst ensuring play leading role already take open collaborative approach quantum research recent international network call run epsrc alone resulting university partnering organisation country quantum technology fundamental physic qtfp programme started generated twentysix unique international link seven large consortium across country', 'among top nation producing quantum scholarly output rank quality impact quantum science based fieldweighted citation impact maintain top position quality quantum science publication whilst increasing volume research publication since funded postgraduate research student working quantum technology related discipline funded additional postgraduate research student quantum relevant discipline bilateral arrangement quantum collaboration bilateral arrangement leading quantum nation based substantive collaborative work programme support business making goto place quantum businessesand integral part global supply chain well preferredlocation investor global talent']"
9,8,9_subcommittee_fundamental_communicating_utilize,"['subcommittee', 'fundamental', 'communicating', 'utilize', 'toapply', 'thereof', 'relatedfields', 'reluctant', 'theuniverse', 'indiscipline']","['facilitation access quantum technology indiscipline outside physic especially relatedfields computer science engineering', 'national strategic overview quantum information science product subcommittee quantum information science', 'establish utilize formal coordination body national science technology council subcommittee quantum information science scqis']"
